"Student","StepID","Correct","KC_1","KC_2","KC_3","KC_4","KC_5"
"stu10",1044,0,0,0,0,0,0
"stu10",1047,1,0,0,0,0,0
"stu10",1074,1,0,0,0,0,1
"stu10",1111,1,0,0,0,0,0
"stu10",1113,1,0,0,0,0,0
"stu10",1116,1,0,0,0,0,0
"stu10",1303,1,0,0,0,0,0
"stu10",1308,1,0,0,1,0,0
"stu10",1310,1,0,0,1,0,0
"stu10",1313,1,0,0,1,0,0
"stu10",1314,1,0,1,0,0,0
"stu10",1316,1,0,1,0,0,0
"stu10",1321,0,0,1,0,0,0
"stu10",1322,1,0,1,0,0,0
"stu10",1323,1,0,0,1,0,0
"stu10",1324,1,0,0,1,0,0
"stu10",1354,1,0,0,1,0,0
"stu10",1414,1,0,0,0,0,0
"stu10",1415,1,0,0,1,0,0
"stu10",1416,1,0,0,1,0,0
"stu10",1425,1,0,0,1,0,0
"stu10",1429,1,0,0,0,0,1
"stu10",1443,0,0,0,0,0,1
"stu10",1486,1,1,0,0,0,0
"stu10",1492,0,1,0,0,0,0
"stu10",1498,0,1,0,0,0,0
"stu10",1499,1,1,0,0,0,0
"stu10",1558,1,0,1,0,0,0
"stu10",1732,1,0,0,0,0,0
"stu10",1736,0,0,0,0,0,0
"stu10",1738,1,0,0,0,0,0
"stu10",1867,1,0,0,1,0,0
"stu10",1873,1,0,0,1,0,0
"stu10",1876,1,0,0,1,0,0
"stu10",1891,1,0,0,1,0,0
"stu10",1892,1,0,0,1,0,0
"stu10",1899,1,0,0,0,0,0
"stu10",1906,1,0,0,0,0,0
"stu10",1913,1,0,0,0,0,0
"stu10",1915,0,0,0,0,0,0
"stu10",1917,1,0,0,0,0,0
"stu10",1921,1,0,0,0,0,0
"stu10",1929,1,0,0,0,0,0
"stu10",1932,1,0,0,1,0,0
"stu10",1943,1,0,0,0,0,0
"stu10",1953,1,0,0,0,0,0
"stu10",1957,1,0,0,0,0,0
"stu10",1968,1,0,0,0,0,0
"stu10",1969,1,0,0,0,0,0
"stu10",1977,1,0,0,0,0,0
"stu10",1980,1,0,0,0,0,0
"stu10",1985,1,0,0,0,0,0
"stu10",1987,1,0,0,0,0,0
"stu10",1994,1,0,0,0,0,0
"stu10",2000,1,0,0,1,0,0
"stu10",2018,1,0,0,0,0,0
"stu10",2027,1,0,0,1,0,0
"stu10",2029,1,0,0,1,0,0
"stu10",2036,1,0,0,1,0,0
"stu10",2038,1,0,0,1,0,0
"stu10",2046,1,0,0,1,0,0
"stu10",2047,1,0,0,1,0,0
"stu10",2058,0,0,0,1,0,0
"stu10",2063,1,0,0,1,0,0
"stu10",2068,1,0,0,1,0,0
"stu10",2074,1,0,0,1,0,0
"stu10",2083,1,0,1,0,0,0
"stu10",2085,1,0,1,0,0,0
"stu10",2112,1,0,1,0,0,0
"stu10",2114,1,0,1,0,0,0
